Age,Gender,Weight,Height,Bodyfat,Bodytemp,Sport-Last-Hour,Time-Since-Meal,Tiredness,Clothing-Level,Radiation-Temp,PCE-Ambient-Temp,Wrist_Skin_Temperature,Heart_Rate,GSR,Ambient_Temperature,Ambient_Humidity,Solar_Radiation,Label
24,Male,75.0,175.0,0.15,36.1,0,8,5,0.6,22.0,21.5,32.0,70.0,0.9,19.5,36.0,0.18,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,21.0,20.0,33.0,75.0,0.45,18.8,39.0,0.22,-3
29,Male,90.0,185.0,0.12,36.0,0,7,4,0.5,19.5,19.0,31.5,68.0,0.7,18.0,37.0,0.16,-3
23,Female,52.0,162.0,0.19,36.3,0,5,3,0.64,20.5,20.0,32.8,72.0,0.55,19.2,34.0,0.19,-3
26,Male,80.0,178.0,0.16,36.2,0,4,3,0.58,21.0,21.0,31.9,66.0,0.8,19.5,36.0,0.17,-3
27,Female,58.0,164.0,0.21,36.4,0,2,2,0.66,20.0,20.5,32.7,74.0,0.49,18.7,38.0,0.14,-3
31,Male,88.0,182.0,0.14,36.1,0,6,5,0.62,19.0,19.5,31.6,69.0,0.85,18.3,35.0,0.13,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,0,2,4,0.55,19.8,19.5,32.5,68.0,0.8,19.0,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.2,31.8,75.0,0.6,18.5,42.0,0.15,-3
24,Male,78.0,175.0,0.15,36.1,0,1,5,0.6,22.0,21.5,32.0,80.0,0.9,19.5,38.0,0.25,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,21.0,20.8,33.0,74.0,0.45,18.8,36.0,0.18,-3
29,Male,90.0,185.0,0.12,36.0,0,4,3,0.5,20.5,20.0,31.5,66.0,0.7,19.2,37.0,0.22,-3
23,Female,52.0,162.0,0.3,36.3,0,5,4,0.75,21.2,21.0,32.8,78.0,0.55,18.7,39.0,0.16,-3
26,Male,82.0,178.0,0.2,36.2,0,2,3,0.58,19.0,19.5,31.9,70.0,0.8,18.3,34.0,0.19,-3
27,Female,59.0,164.0,0.28,36.1,0,6,5,0.62,20.0,20.2,32.4,76.0,0.65,19.1,38.0,0.17,-3
31,Male,95.0,190.0,0.1,36.0,0,3,4,0.45,18.5,18.0,31.0,65.0,0.9,18.0,36.0,0.14,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,0,2,4,0.55,19.8,19.5,32.5,68.0,0.8,19.0,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.2,31.8,75.0,0.6,18.5,42.0,0.15,-3
24,Male,78.0,175.0,0.15,36.1,0,1,5,0.6,21.0,21.5,32.0,80.0,0.9,19.5,38.0,0.25,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,22.0,22.1,33.0,74.0,0.45,20.2,36.0,0.18,-3
29,Male,90.0,185.0,0.12,36.0,0,4,3,0.5,20.5,20.0,31.5,66.0,0.7,19.0,37.0,0.22,-3
23,Female,52.0,162.0,0.3,36.3,0,5,4,0.75,21.2,21.3,32.8,78.0,0.55,20.5,39.0,0.16,-3
26,Male,82.0,178.0,0.2,36.2,0,2,3,0.58,19.0,19.5,31.9,70.0,0.8,18.8,34.0,0.19,-3
27,Female,59.0,164.0,0.28,36.1,0,6,5,0.62,20.0,20.2,32.3,76.0,0.65,19.2,41.0,0.17,-3
31,Male,95.0,190.0,0.1,36.0,0,3,4,0.64,21.0,21.5,31.7,65.0,0.9,19.5,36.0,0.21,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,0,2,4,0.55,19.8,19.5,32.5,68.0,0.8,19.0,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.2,31.8,75.0,0.6,18.5,42.0,0.15,-3
24,Male,78.0,175.0,0.15,36.1,0,1,5,0.6,21.0,20.8,32.0,80.0,0.9,19.5,38.0,0.25,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,22.0,21.5,33.0,74.0,0.45,20.2,36.0,0.18,-3
29,Male,90.0,185.0,0.12,36.0,0,4,3,0.5,19.5,19.0,31.5,65.0,0.7,18.8,39.0,0.22,-3
23,Female,52.0,162.0,0.3,36.5,0,5,4,0.75,20.5,20.0,32.8,78.0,0.55,19.2,37.0,0.16,-3
26,Male,82.0,178.0,0.2,36.2,0,2,3,0.58,21.2,21.0,31.9,70.0,0.48,19.8,34.0,0.19,-3
27,Female,58.0,164.0,0.28,36.3,0,6,3,0.62,20.0,19.5,32.3,76.0,0.53,18.7,41.0,0.17,-3
31,Male,95.0,190.0,0.1,36.0,0,3,5,0.45,19.0,18.5,31.0,67.0,0.6,18.0,38.0,0.14,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,1,2,4,0.55,19.0,19.5,32.5,68.0,0.8,19.0,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,22.0,21.5,31.8,75.0,0.6,18.5,42.0,0.15,-3
24,Male,78.0,175.0,0.15,36.1,0,8,5,0.6,20.5,20.0,32.0,66.0,0.9,19.5,38.0,0.18,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,21.0,21.2,33.5,70.0,0.45,20.2,36.0,0.22,-3
29,Male,90.0,185.0,0.12,36.0,0,7,4,0.5,19.5,19.0,31.5,64.0,1.1,18.8,39.0,0.16,-3
23,Female,52.0,162.0,0.3,36.3,0,5,3,0.75,20.0,20.5,32.8,72.0,0.55,19.2,37.0,0.19,-3
26,Male,82.0,178.0,0.2,36.2,0,4,3,0.58,21.2,21.0,31.9,69.0,0.7,19.8,34.0,0.17,-3
27,Female,58.0,164.0,0.28,36.1,0,6,4,0.62,20.8,20.2,32.3,74.0,0.48,18.9,41.0,0.14,-3
31,Male,95.0,190.0,0.1,36.0,0,2,5,0.45,19.2,19.5,31.0,65.0,1.3,18.0,38.0,0.13,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,19.5,40.0,0.15,-3
30,Male,85.0,180.0,0.18,36.3,0,2,4,0.55,20.0,19.5,32.5,68.0,0.8,18.5,35.0,0.1,-3
28,Female,62.0,165.0,0.2,36.2,0,6,3,0.7,22.0,21.5,31.8,75.0,0.6,20.0,38.0,0.2,-3
24,Male,78.0,175.0,0.15,36.1,0,1,5,0.6,19.5,19.0,32.0,66.0,0.9,19.0,36.0,0.12,-3
21,Female,55.0,158.0,0.25,36.4,0,3,2,0.68,20.5,20.0,33.5,70.0,0.45,18.8,39.0,0.18,-3
29,Male,90.0,185.0,0.12,36.0,0,4,3,0.5,21.0,20.5,31.5,64.0,0.7,19.2,37.0,0.14,-3
23,Female,52.0,162.0,0.3,36.3,0,5,4,0.75,20.0,19.8,32.8,72.0,0.55,18.7,34.0,0.16,-3
26,Male,82.0,178.0,0.2,36.2,0,2,3,0.58,19.0,18.5,31.9,69.0,0.8,18.3,32.0,0.11,-3
27,Female,58.0,164.0,0.28,36.1,0,6,5,0.62,20.2,19.7,32.4,74.0,0.65,19.1,35.0,0.13,-3
31,Male,95.0,190.0,0.1,36.0,0,3,4,0.45,18.5,18.0,31.0,65.0,0.9,18.0,33.0,0.09,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,0,2,4,0.55,19.0,19.5,32.5,65.0,0.8,18.5,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.5,31.8,78.0,0.6,19.0,30.0,0.15,-3
24,Male,75.0,175.0,0.15,36.1,0,1,5,0.6,22.0,21.5,32.0,70.0,0.9,19.5,38.0,0.25,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,21.0,20.0,33.0,75.0,0.45,18.8,42.0,0.18,-3
29,Male,90.0,185.0,0.12,36.0,0,4,3,0.5,19.5,19.0,31.5,68.0,0.7,18.0,36.0,0.22,-3
23,Female,52.0,162.0,0.19,36.5,0,5,4,0.64,20.5,20.0,32.8,74.0,0.55,19.2,39.0,0.19,-3
26,Male,82.0,178.0,0.16,36.2,0,2,3,0.58,21.0,21.0,31.9,66.0,0.8,18.7,34.0,0.16,-3
27,Female,58.0,164.0,0.21,36.3,0,6,2,0.66,20.0,19.5,32.3,72.0,0.49,19.3,37.0,0.17,-3
31,Male,88.0,182.0,0.14,36.0,0,3,5,0.62,19.0,19.0,31.7,69.0,0.6,18.2,35.0,0.14,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,1,2,4,0.55,19.0,19.5,32.5,65.0,0.8,19.0,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.5,31.8,78.0,0.6,18.5,42.0,0.15,-3
24,Male,75.0,175.0,0.15,36.1,0,8,5,0.6,22.0,21.0,32.0,70.0,0.9,19.5,38.0,0.18,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,21.0,20.0,33.0,75.0,0.45,18.0,36.0,0.22,-3
29,Male,90.0,185.0,0.12,36.0,0,7,4,0.5,19.5,19.0,31.5,68.0,0.7,18.5,39.0,0.16,-3
23,Female,52.0,162.0,0.3,36.3,0,5,3,0.75,20.0,20.5,32.8,80.0,0.55,19.0,37.0,0.19,-3
26,Male,82.0,178.0,0.2,36.2,0,4,3,0.62,21.0,21.5,31.9,72.0,0.8,19.5,34.0,0.17,-3
27,Female,58.0,164.0,0.28,36.1,0,6,4,0.66,20.5,20.0,32.3,77.0,0.49,18.8,41.0,0.14,-3
31,Male,95.0,190.0,0.1,36.0,0,2,5,0.58,19.0,19.5,31.7,66.0,0.6,18.2,38.0,0.13,-3
22,Female,50.0,160.0,0.22,36.4,0,4,2,0.65,21.5,21.0,33.2,72.5,0.512,20.0,40.0,0.3,-3
30,Male,85.0,180.0,0.18,36.3,0,2,4,0.55,19.8,19.5,32.5,68.0,0.8,19.0,35.0,0.2,-3
28,Female,62.0,165.0,0.25,36.2,0,6,3,0.7,20.0,20.2,31.8,75.0,0.6,18.5,42.0,0.15,-3
24,Male,78.0,175.0,0.15,36.1,0,1,5,0.6,21.0,21.5,32.0,80.0,0.9,19.5,38.0,0.25,-3
21,Female,55.0,158.0,0.2,36.4,0,3,2,0.68,22.0,22.5,33.5,70.0,0.45,20.2,36.0,0.18,-3
29,Male,90.0,185.0,0.12,36.0,0,4,3,0.5,20.5,20.0,31.5,65.0,1.1,19.0,37.0,0.22,-3
23,Female,52.0,162.0,0.3,36.2,0,5,4,0.75,21.2,21.0,32.8,72.0,0.55,18.8,39.0,0.16,-3
26,Male,82.0,178.0,0.2,36.3,0,2,3,0.62,19.5,19.8,31.9,66.0,0.7,19.2,34.0,0.19,-3
27,Female,58.0,164.0,0.28,36.1,0,6,5,0.66,20.0,20.3,32.4,74.0,0.48,18.7,41.0,0.17,-3
31,Male,95.0,190.0,0.25,36.0,0,3,4,0.58,20.2,20.1,31.7,69.0,0.9,19.3,36.0,0.21,-3
